"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T11","rho.sharp",0.8,20,5,0.5,200,100,TRUE,TRUE,1
"T11","rho.oracle",0.77,20,5,0.5,200,100,TRUE,TRUE,1
"T11","rho.plug",0.88,20,5,0.5,200,100,TRUE,TRUE,1
"T11","rho.adj",0.91,20,5,0.5,200,100,TRUE,TRUE,1
"T12","rho.sharp",0.755,20,5,0.5,200,100,TRUE,TRUE,1
"T12","rho.oracle",0.705,20,5,0.5,200,100,TRUE,TRUE,1
"T12","rho.plug",0.85,20,5,0.5,200,100,TRUE,TRUE,1
"T12","rho.adj",0.87,20,5,0.5,200,100,TRUE,TRUE,1
"T13","rho.sharp",0.805,20,5,0.5,200,100,TRUE,TRUE,1
"T13","rho.oracle",0.8,20,5,0.5,200,100,TRUE,TRUE,1
"T13","rho.plug",0.8,20,5,0.5,200,100,TRUE,TRUE,1
"T13","rho.adj",0.86,20,5,0.5,200,100,TRUE,TRUE,1
"T21","rho.sharp",0.8,20,5,0.5,200,100,TRUE,TRUE,1
"T21","rho.oracle",0.76,20,5,0.5,200,100,TRUE,TRUE,1
"T21","rho.plug",0.775,20,5,0.5,200,100,TRUE,TRUE,1
"T21","rho.adj",0.79,20,5,0.5,200,100,TRUE,TRUE,1
"T22","rho.sharp",0.83,20,5,0.5,200,100,TRUE,TRUE,1
"T22","rho.oracle",0.85,20,5,0.5,200,100,TRUE,TRUE,1
"T22","rho.plug",0.83,20,5,0.5,200,100,TRUE,TRUE,1
"T22","rho.adj",0.82,20,5,0.5,200,100,TRUE,TRUE,1
"T23","rho.sharp",0.74,20,5,0.5,200,100,TRUE,TRUE,1
"T23","rho.oracle",0.71,20,5,0.5,200,100,TRUE,TRUE,1
"T23","rho.plug",0.725,20,5,0.5,200,100,TRUE,TRUE,1
"T23","rho.adj",0.79,20,5,0.5,200,100,TRUE,TRUE,1
"T31","rho.sharp",0.85,20,5,0.5,200,100,TRUE,TRUE,1
"T31","rho.oracle",0.8,20,5,0.5,200,100,TRUE,TRUE,1
"T31","rho.plug",0.875,20,5,0.5,200,100,TRUE,TRUE,1
"T31","rho.adj",0.89,20,5,0.5,200,100,TRUE,TRUE,1
"T32","rho.sharp",0.835,20,5,0.5,200,100,TRUE,TRUE,1
"T32","rho.oracle",0.805,20,5,0.5,200,100,TRUE,TRUE,1
"T32","rho.plug",0.86,20,5,0.5,200,100,TRUE,TRUE,1
"T32","rho.adj",0.84,20,5,0.5,200,100,TRUE,TRUE,1
"T33","rho.sharp",0.77,20,5,0.5,200,100,TRUE,TRUE,1
"T33","rho.oracle",0.74,20,5,0.5,200,100,TRUE,TRUE,1
"T33","rho.plug",0.725,20,5,0.5,200,100,TRUE,TRUE,1
"T33","rho.adj",0.74,20,5,0.5,200,100,TRUE,TRUE,1
"T41","rho.sharp",0.85,20,5,0.5,200,100,TRUE,TRUE,1
"T41","rho.oracle",0.8,20,5,0.5,200,100,TRUE,TRUE,1
"T41","rho.plug",0.875,20,5,0.5,200,100,TRUE,TRUE,1
"T41","rho.adj",0.89,20,5,0.5,200,100,TRUE,TRUE,1
"T42","rho.sharp",0.835,20,5,0.5,200,100,TRUE,TRUE,1
"T42","rho.oracle",0.805,20,5,0.5,200,100,TRUE,TRUE,1
"T42","rho.plug",0.86,20,5,0.5,200,100,TRUE,TRUE,1
"T42","rho.adj",0.84,20,5,0.5,200,100,TRUE,TRUE,1
"T43","rho.sharp",0.77,20,5,0.5,200,100,TRUE,TRUE,1
"T43","rho.oracle",0.74,20,5,0.5,200,100,TRUE,TRUE,1
"T43","rho.plug",0.725,20,5,0.5,200,100,TRUE,TRUE,1
"T43","rho.adj",0.74,20,5,0.5,200,100,TRUE,TRUE,1
"T11","rho.sharp",0.565,80,20,0.5,200,NA,TRUE,TRUE,1
"T11","rho.oracle",0.55,80,20,0.5,200,NA,TRUE,TRUE,1
"T11","rho.plug",0.535,80,20,0.5,200,NA,TRUE,TRUE,1
"T11","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T12","rho.sharp",0.555,80,20,0.5,200,NA,TRUE,TRUE,1
"T12","rho.oracle",0.545,80,20,0.5,200,NA,TRUE,TRUE,1
"T12","rho.plug",0.515,80,20,0.5,200,NA,TRUE,TRUE,1
"T12","rho.adj",NA,80,20,0.5,200,NA,TRUE,TRUE,1
"T13","rho.sharp",0.515,80,20,0.5,200,NA,TRUE,TRUE,1
"T13","rho.oracle",0.515,80,20,0.5,200,NA,TRUE,TRUE,1
"T13","rho.plug",0.48,80,20,0.5,200,NA,TRUE,TRUE,1
