"tstat","ptype","value","n","tau","EY","B","H0A","H0Y","seed"
"T11","rho.sharp",0.54,24,5,0.5,200,TRUE,TRUE,4000001
"T11","rho.oracle",0.51,24,5,0.5,200,TRUE,TRUE,4000001
"T11","rho.plug",0.69,24,5,0.5,200,TRUE,TRUE,4000001
"T12","rho.sharp",0.52,24,5,0.5,200,TRUE,TRUE,4000001
"T12","rho.oracle",0.475,24,5,0.5,200,TRUE,TRUE,4000001
"T12","rho.plug",0.655,24,5,0.5,200,TRUE,TRUE,4000001
"T13","rho.sharp",0.665,24,5,0.5,200,TRUE,TRUE,4000001
"T13","rho.oracle",0.6,24,5,0.5,200,TRUE,TRUE,4000001
"T13","rho.plug",0.915,24,5,0.5,200,TRUE,TRUE,4000001
"T21","rho.sharp",0.745,24,5,0.5,200,TRUE,TRUE,4000001
"T21","rho.oracle",0.68,24,5,0.5,200,TRUE,TRUE,4000001
"T21","rho.plug",0.84,24,5,0.5,200,TRUE,TRUE,4000001
"T22","rho.sharp",0.42,24,5,0.5,200,TRUE,TRUE,4000001
"T22","rho.oracle",0.39,24,5,0.5,200,TRUE,TRUE,4000001
"T22","rho.plug",0.525,24,5,0.5,200,TRUE,TRUE,4000001
"T23","rho.sharp",0.145,24,5,0.5,200,TRUE,TRUE,4000001
"T23","rho.oracle",0.14,24,5,0.5,200,TRUE,TRUE,4000001
"T23","rho.plug",0.4,24,5,0.5,200,TRUE,TRUE,4000001
"T31","rho.sharp",0.635,24,5,0.5,200,TRUE,TRUE,4000001
"T31","rho.oracle",0.575,24,5,0.5,200,TRUE,TRUE,4000001
"T31","rho.plug",0.745,24,5,0.5,200,TRUE,TRUE,4000001
"T32","rho.sharp",0.505,24,5,0.5,200,TRUE,TRUE,4000001
"T32","rho.oracle",0.465,24,5,0.5,200,TRUE,TRUE,4000001
"T32","rho.plug",0.62,24,5,0.5,200,TRUE,TRUE,4000001
"T33","rho.sharp",0.13,24,5,0.5,200,TRUE,TRUE,4000001
"T33","rho.oracle",0.16,24,5,0.5,200,TRUE,TRUE,4000001
"T33","rho.plug",0.6,24,5,0.5,200,TRUE,TRUE,4000001
"T41","rho.sharp",0.635,24,5,0.5,200,TRUE,TRUE,4000001
"T41","rho.oracle",0.575,24,5,0.5,200,TRUE,TRUE,4000001
"T41","rho.plug",0.745,24,5,0.5,200,TRUE,TRUE,4000001
"T42","rho.sharp",0.505,24,5,0.5,200,TRUE,TRUE,4000001
"T42","rho.oracle",0.465,24,5,0.5,200,TRUE,TRUE,4000001
"T42","rho.plug",0.62,24,5,0.5,200,TRUE,TRUE,4000001
"T43","rho.sharp",0.13,24,5,0.5,200,TRUE,TRUE,4000001
"T43","rho.oracle",0.16,24,5,0.5,200,TRUE,TRUE,4000001
"T43","rho.plug",0.6,24,5,0.5,200,TRUE,TRUE,4000001
"T11","rho.sharp",0.46,48,10,0.5,200,TRUE,TRUE,4000001
"T11","rho.oracle",0.535,48,10,0.5,200,TRUE,TRUE,4000001
"T11","rho.plug",0.57,48,10,0.5,200,TRUE,TRUE,4000001
"T12","rho.sharp",0.4,48,10,0.5,200,TRUE,TRUE,4000001
"T12","rho.oracle",0.485,48,10,0.5,200,TRUE,TRUE,4000001
"T12","rho.plug",0.56,48,10,0.5,200,TRUE,TRUE,4000001
