"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",0.165844180869848,-0.5,0.209861521558787,24,5,0.5,200,TRUE,TRUE,3000001
"p2",-0.360510734105712,0,0.158890040317241,24,5,0.5,200,TRUE,TRUE,3000001
"p3",-0.492450593637506,0,0.160241562555366,24,5,0.5,200,TRUE,TRUE,3000001
"p4",0.486271015891599,0,0.225214845999549,24,5,0.5,200,TRUE,TRUE,3000001
"m1",-0.533676899973275,-0.5,0.271938757283363,24,5,0.5,200,TRUE,TRUE,3000001
"m2",0.132977266321405,0,0.209622696391427,24,5,0.5,200,TRUE,TRUE,3000001
"m3",-0.121654273931861,0,0.210621604100909,24,5,0.5,200,TRUE,TRUE,3000001
"m4",0.0709989181329063,0,0.294254623732519,24,5,0.5,200,TRUE,TRUE,3000001
"p1",-0.527715980465362,-0.5,0.0691695817132531,48,10,0.5,200,TRUE,TRUE,3000001
"p2",0.00162219400660628,0,0.0524566469636464,48,10,0.5,200,TRUE,TRUE,3000001
"p3",0.0556310296461201,0,0.0517909704374837,48,10,0.5,200,TRUE,TRUE,3000001
"p4",-0.0290891376709094,0,0.0741012074211404,48,10,0.5,200,TRUE,TRUE,3000001
"m1",-0.633840895058795,-0.5,0.0897660512555814,48,10,0.5,200,TRUE,TRUE,3000001
"m2",0.0991796980648825,0,0.0669272508706667,48,10,0.5,200,TRUE,TRUE,3000001
"m3",0.0371181266280708,0,0.0665325587731794,48,10,0.5,200,TRUE,TRUE,3000001
"m4",0.0256680804312387,0,0.0940744622907799,48,10,0.5,200,TRUE,TRUE,3000001
"p1",0.466178695678068,-0.2,0.224235410866703,24,5,0.5,200,FALSE,TRUE,3000001
"p2",-0.37071609570436,0,0.165554895396862,24,5,0.5,200,FALSE,TRUE,3000001
"p3",-0.390528771362995,0,0.166311490714991,24,5,0.5,200,FALSE,TRUE,3000001
"p4",-0.55957541559657,-1,0.235164900394112,24,5,0.5,200,FALSE,TRUE,3000001
"m1",-0.100130933270263,-0.2,0.259993707645023,24,5,0.5,200,FALSE,TRUE,3000001
"m2",0.100938982734212,0,0.204940768479054,24,5,0.5,200,FALSE,TRUE,3000001
"m3",-0.162104722740582,0,0.20277914246728,24,5,0.5,200,FALSE,TRUE,3000001
"m4",-1.14892484160841,-1,0.348040263531033,24,5,0.5,200,FALSE,TRUE,3000001
"p1",-0.217924275362109,-0.2,0.0721870143760553,48,10,0.5,200,FALSE,TRUE,3000001
"p2",0.00310292996145044,0,0.0543806136261213,48,10,0.5,200,FALSE,TRUE,3000001
"p3",0.0840968190098878,0,0.0537810256674076,48,10,0.5,200,FALSE,TRUE,3000001
"p4",-1.09246976829379,-1,0.079182058319329,48,10,0.5,200,FALSE,TRUE,3000001
"m1",-0.144639752165622,-0.2,0.0845225940596636,48,10,0.5,200,FALSE,TRUE,3000001
"m2",-0.046926133578906,0,0.0650519786453478,48,10,0.5,200,FALSE,TRUE,3000001
"m3",-0.0605044696151607,0,0.0642315932641011,48,10,0.5,200,FALSE,TRUE,3000001
"m4",-0.973512146898862,-1,0.113427480104795,48,10,0.5,200,FALSE,TRUE,3000001
"p1",0.251975501373976,-0.2,0.251224290288867,24,5,0.5,200,FALSE,FALSE,3000001
"p2",-0.0693290047221496,0,0.174798076232069,24,5,0.5,200,FALSE,FALSE,3000001
"p3",-0.279556863940854,0,0.173454621227192,24,5,0.5,200,FALSE,FALSE,3000001
"p4",-0.845903647473279,-1,0.239989519231443,24,5,0.5,200,FALSE,FALSE,3000001
"m1",-0.451099465792109,-0.2,0.284972135117363,24,5,0.5,200,FALSE,FALSE,3000001
"m2",0.354495984805966,0,0.208186708447216,24,5,0.5,200,FALSE,FALSE,3000001
"m3",0.207622386034032,0,0.198744968259143,24,5,0.5,200,FALSE,FALSE,3000001
"m4",-1.74826316410765,-1,0.365758865856021,24,5,0.5,200,FALSE,FALSE,3000001
"p1",-0.16303230777583,-0.2,0.0779231387840913,48,10,0.5,200,FALSE,FALSE,3000001
"p2",-0.0148731383397292,0,0.0538310114461582,48,10,0.5,200,FALSE,FALSE,3000001
"p3",-0.0256338589917507,0,0.0549408294726853,48,10,0.5,200,FALSE,FALSE,3000001
"p4",-0.937523932971047,-1,0.0786291047452421,48,10,0.5,200,FALSE,FALSE,3000001
"m1",-0.20463663427663,-0.2,0.089437236625771,48,10,0.5,200,FALSE,FALSE,3000001
"m2",0.0257702479869879,0,0.0626601947330458,48,10,0.5,200,FALSE,FALSE,3000001
"m3",0.0425453714785,0,0.0628528146965704,48,10,0.5,200,FALSE,FALSE,3000001
"m4",-1.12742874310666,-1,0.113351643164851,48,10,0.5,200,FALSE,FALSE,3000001
"p1",-0.311159948792082,-0.5,0.221170862621938,24,5,0.5,200,TRUE,TRUE,3000002
"p2",-0.239487431344668,0,0.155518350902634,24,5,0.5,200,TRUE,TRUE,3000002
"p3",-0.0109342434835048,0,0.159279909226761,24,5,0.5,200,TRUE,TRUE,3000002
"p4",0.248961769525132,0,0.234431581906652,24,5,0.5,200,TRUE,TRUE,3000002
"m1",-0.260959900559183,-0.5,0.28552791748021,24,5,0.5,200,TRUE,TRUE,3000002
"m2",-0.170407489692965,0,0.205691121862268,24,5,0.5,200,TRUE,TRUE,3000002
"m3",-0.206570912588713,0,0.20848232982795,24,5,0.5,200,TRUE,TRUE,3000002
"m4",0.0938536080239512,0,0.302219961953156,24,5,0.5,200,TRUE,TRUE,3000002
"p1",-0.487838847341989,-0.5,0.0685342248517566,48,10,0.5,200,TRUE,TRUE,3000002
"p2",-0.00741393006523556,0,0.0518485526303164,48,10,0.5,200,TRUE,TRUE,3000002
"p3",0.0155403213625605,0,0.0517892459996245,48,10,0.5,200,TRUE,TRUE,3000002
"p4",-0.0604216130572799,0,0.0741198296336553,48,10,0.5,200,TRUE,TRUE,3000002
"m1",-0.454856966781324,-0.5,0.0881195649543834,48,10,0.5,200,TRUE,TRUE,3000002
"m2",-0.0290895779276283,0,0.065559603233327,48,10,0.5,200,TRUE,TRUE,3000002
"m3",0.00309409213263111,0,0.0672647693394596,48,10,0.5,200,TRUE,TRUE,3000002
"m4",0.0498132372796924,0,0.0950410776015807,48,10,0.5,200,TRUE,TRUE,3000002
"p1",-0.195121759163005,-0.2,0.231305277949597,24,5,0.5,200,FALSE,TRUE,3000002
"p2",-0.120467137074182,0,0.161450677016119,24,5,0.5,200,FALSE,TRUE,3000002
"p3",0.147108970414111,0,0.167345245690013,24,5,0.5,200,FALSE,TRUE,3000002
"p4",-1.15521954547253,-1,0.251721896288319,24,5,0.5,200,FALSE,TRUE,3000002
"m1",-0.119951087765254,-0.2,0.275800632171917,24,5,0.5,200,FALSE,TRUE,3000002
"m2",-0.0269366471906238,0,0.197214824558591,24,5,0.5,200,FALSE,TRUE,3000002
"m3",-0.239758569556629,0,0.200315114669181,24,5,0.5,200,FALSE,TRUE,3000002
"m4",-1.09056499267099,-1,0.397539274755723,24,5,0.5,200,FALSE,TRUE,3000002
"p1",-0.269755094244292,-0.2,0.0716391819570983,48,10,0.5,200,FALSE,TRUE,3000002
"p2",0.0446837359695844,0,0.0538846595798631,48,10,0.5,200,FALSE,TRUE,3000002
"p3",0.0490422500469636,0,0.0538051926113956,48,10,0.5,200,FALSE,TRUE,3000002
"p4",-1.08821138258074,-1,0.0792547027823894,48,10,0.5,200,FALSE,TRUE,3000002
"m1",-0.107419671862869,-0.2,0.0840743994427973,48,10,0.5,200,FALSE,TRUE,3000002
"m2",-0.0563696087223459,0,0.0634910424062962,48,10,0.5,200,FALSE,TRUE,3000002
"m3",-0.0225017775909415,0,0.0653312097208379,48,10,0.5,200,FALSE,TRUE,3000002
"m4",-0.920911150773918,-1,0.112953099089117,48,10,0.5,200,FALSE,TRUE,3000002
"p1",-0.362686357335187,-0.2,0.266986536238393,24,5,0.5,200,FALSE,FALSE,3000002
"p2",0.133562168252568,0,0.174220674566309,24,5,0.5,200,FALSE,FALSE,3000002
"p3",0.101342360576203,0,0.172458584669271,24,5,0.5,200,FALSE,FALSE,3000002
"p4",-1.2208987801427,-1,0.244082224598663,24,5,0.5,200,FALSE,FALSE,3000002
"m1",-0.471747212763348,-0.2,0.349388601583527,24,5,0.5,200,FALSE,FALSE,3000002
"m2",-0.0583181283432511,0,0.222838043884743,24,5,0.5,200,FALSE,FALSE,3000002
